service,service_call
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Jose', 'number_of_seats': '2', 'restaurant_name': 'Sino', 'time': '11:30'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-04', 'location': 'Saratoga', 'number_of_seats': '1', 'restaurant_name': ""Rosie Mccann's Irish Pub & Restaurant"", 'time': '11:30'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Francisco', 'number_of_seats': '2', 'restaurant_name': 'Bourbon Steak Restaurant', 'time': '13:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Mateo', 'number_of_seats': '1', 'restaurant_name': 'Andes Cafe San Mateo', 'time': '11:15'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-05', 'location': 'San Jose', 'number_of_seats': '2', 'restaurant_name': ""Ludwig's German Table"", 'time': '18:30'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'Napa', 'number_of_seats': '4', 'restaurant_name': 'The Big 4', 'time': '12:45'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'Livermore', 'number_of_seats': '2', 'restaurant_name': 'Simply Fondue', 'time': '13:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-08', 'location': 'San Francisco', 'number_of_seats': '4', 'restaurant_name': 'Zaoh', 'time': '12:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Jose', 'number_of_seats': '2', 'restaurant_name': 'House Of Genji', 'time': '18:15'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-14', 'location': 'Livermore', 'number_of_seats': '2', 'restaurant_name': ""Mcdonald's"", 'time': '12:30'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-06', 'location': 'Livermore', 'number_of_seats': '3', 'restaurant_name': 'Mai Vietnamese Cuisine', 'time': '17:15'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-14', 'location': 'Castro Valley', 'number_of_seats': '2', 'restaurant_name': 'Isushi', 'time': '19:30'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Jose', 'number_of_seats': '2', 'restaurant_name': 'Lalla Grill', 'time': '18:30'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'Sunnyvale', 'number_of_seats': '4', 'restaurant_name': 'Taverna Bistro', 'time': '17:45'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'Livermore', 'number_of_seats': '2', 'restaurant_name': 'Kiku Sushi', 'time': '12:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-03', 'location': 'Berkeley', 'number_of_seats': '2', 'restaurant_name': 'Royal Rangoon Restaurant', 'time': '12:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Francisco', 'number_of_seats': '2', 'restaurant_name': 'Kittea Cat Cafe', 'time': '19:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-11', 'location': 'Albany', 'number_of_seats': '2', 'restaurant_name': 'Rokko', 'time': '14:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Francisco', 'number_of_seats': '2', 'restaurant_name': 'El Tesoro Taqueria & Grill', 'time': '11:45'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-02', 'location': 'Rohnert Park', 'number_of_seats': '1', 'restaurant_name': 'Tonayan', 'time': '12:30'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-03', 'location': 'Albany', 'number_of_seats': '2', 'restaurant_name': ""Dickey's Barbecue Pit"", 'time': '12:30'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-08', 'location': 'Oakland', 'number_of_seats': '2', 'restaurant_name': 'Koryo Sushi', 'time': '13:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Francisco', 'number_of_seats': '1', 'restaurant_name': 'Sakana Sushi Bar & Grill', 'time': '18:45'}}"
